City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,novoanninskiy,50.5287,42.6747,10.27,9.2,99,5.14,Novoanninskiy,1683748024
71,belmonte,-15.8631,-38.8828,25.39,25.39,22,4.48,Belmonte,1683748025
72,chifeng,42.2683,118.9636,14.06,14.06,100,2.18,Chifeng,1683748025
73,mbanza kongo,-6.267,14.2401,22.23,22.23,0,1.3,Mbanza Kongo,1683748026
74,saskatoon,52.1168,-106.6345,19.99,19.99,75,1.03,Saskatoon,1683747763
75,akrehamn,59.2667,5.1833,11.14,10.0,75,2.06,Åkrehamn,1683748027
76,ilulissat,69.2167,-51.1,-0.99,-0.99,40,8.23,Ilulissat,1683748027
77,karlskrona,56.1616,15.5866,12.25,12.25,66,6.4,Karlskrona,1683748028
78,albany,42.6001,-73.9662,22.18,19.74,3,0.89,Albany,1683748029
79,grantsville,40.5999,-112.4644,20.41,16.99,40,5.14,Grantsville,1683748030
80,haiku-pauwela,20.9219,-156.3051,26.01,23.06,20,8.23,Haiku-Pauwela,1683748036
81,villaviciosa,43.4813,-5.4357,14.79,13.98,38,2.41,Villaviciosa,1683748036
82,afaahiti,-17.75,-149.2833,27.93,27.81,93,13.13,Afaahiti,1683748037
83,kargopol',61.5071,38.9456,8.52,8.52,66,1.57,Kargopol',1683748038
84,harar,9.3094,42.1258,16.86,16.86,99,0.58,Harar,1683748038
85,susuman,62.7833,148.1667,0.93,0.93,20,1.27,Susuman,1683748039
86,mount gambier,-37.8333,140.7667,7.06,7.06,0,2.78,Mount Gambier,1683748039
87,yorkton,51.2167,-102.4677,16.91,16.91,75,7.2,Yorkton,1683747927
88,yaren,-0.5472,166.916,28.62,28.62,100,4.6,Yaren,1683748040
89,east ballina,-28.8667,153.5833,13.9,13.22,57,4.05,East Ballina,1683748041
90,udachny,66.4167,112.4,-10.86,-10.86,12,2.86,Udachny,1683748041
91,namtsy,62.7161,129.6658,1.46,1.46,100,5.37,Namtsy,1683748042
92,oxelosund,58.6706,17.1015,10.21,10.21,0,3.6,Oxelösund,1683748043
93,alofi,-19.0595,-169.9187,24.94,24.94,19,2.57,Alofi,1683748043
94,marsa alam,25.0757,34.8918,24.85,24.85,0,1.13,Marsa Alam,1683747850
95,qaqortoq,60.7167,-46.0333,5.39,5.39,100,1.11,Qaqortoq,1683748045
96,hadibu,12.65,54.0333,28.99,28.99,47,1.81,Hadibu,1683748045
97,greymouth,-42.4667,171.2,6.78,6.78,63,3.04,Greymouth,1683748046
98,ubari,26.5921,12.7805,22.74,22.74,0,4.25,Ubari,1683748046
99,marsh harbour,26.5412,-77.0636,25.63,25.63,0,3.98,Marsh Harbour,1683748047
100,new norfolk,-42.7826,147.0587,5.4,3.72,8,1.14,New Norfolk,1683748047
101,sirte,31.2089,16.5887,18.45,18.45,3,6.97,Sirte,1683748048
102,palmas de monte alto,-14.2672,-43.1619,31.48,31.48,66,0.5,Palmas de Monte Alto,1683748049
103,broome,42.2506,-75.833,21.14,19.26,0,4.63,Broome,1683748049
104,elassona,39.8947,22.1886,10.63,10.63,100,1.19,Elassóna,1683748050
105,sosnovo-ozerskoye,52.5249,111.5418,7.52,7.52,95,2.68,Sosnovo-Ozerskoye,1683748050
106,anuradhapura,8.3565,80.4173,24.67,24.67,100,4.0,Anuradhapura,1683748051
107,nishinoomote,30.7333,131.0,19.62,19.62,100,2.27,Nishinoomote,1683748056
108,hithadhoo,-0.6,73.0833,27.98,27.98,100,6.5,Hithadhoo,1683748057
109,broken hill,-31.95,141.4333,8.98,8.98,0,3.27,Broken Hill,1683748057
110,praia da vitoria,38.7333,-27.0667,20.14,18.2,40,6.52,Praia da Vitória,1683748058
111,narasannapeta,18.4167,84.05,28.26,28.26,100,0.66,Narasannapeta,1683748059
112,mata-utu,-13.2816,-176.1745,28.5,28.5,2,5.9,Mata-Utu,1683748059
113,burao,9.5221,45.5336,25.07,25.07,83,7.08,Burao,1683748060
114,carbonear,47.7332,-53.2148,9.91,8.34,79,7.56,Carbonear,1683748060
115,puerto baquerizo moreno,-0.9,-89.6,28.55,28.55,75,5.14,Puerto Baquerizo Moreno,1683748061
116,aykhal,66.0,111.5,-18.21,-18.21,9,3.12,Aykhal,1683748062
117,arraial do cabo,-22.9661,-42.0278,21.92,20.98,100,3.09,Arraial do Cabo,1683748063
118,aswan,24.0934,32.907,28.61,28.61,0,2.06,Aswān,1683748063
119,ambatofinandrahana,-20.55,46.8,14.1,14.1,100,1.93,Ambatofinandrahana,1683748064
120,zarate,-34.0981,-59.0286,20.02,18.79,21,3.58,Zárate,1683748064
121,tan-tan,28.438,-11.1032,21.2,21.2,0,4.4,Tan-Tan,1683748065
122,kitwe,-12.7961,28.2477,15.0,15.0,100,1.49,Kitwe,1683748065
123,gonaives,19.45,-72.6833,31.31,31.31,97,4.05,Gonaïves,1683748066
124,port elizabeth,-33.918,25.5701,16.16,16.16,0,1.54,Port Elizabeth,1683748066
125,iskateley,67.6803,53.1512,-4.35,-4.35,88,1.05,Iskateley,1683748067
126,lihue,21.9789,-159.3672,25.77,24.3,0,6.17,Lihue,1683747893
127,cill airne,52.05,-9.5167,9.83,9.83,70,3.04,Killarney,1683748068
128,isafjordur,66.0755,-23.124,6.0,6.0,100,0.73,Isafjordur,1683747908
129,santa terezinha,-29.9002,-50.0904,19.65,19.65,68,4.79,Santa Terezinha,1683748069
130,nuku'alofa,-21.1333,-175.2,23.19,23.19,20,0.51,Nuku'alofa,1683748070
131,guangyuan,32.442,105.823,14.87,14.87,100,2.46,Guangyuan,1683747851
132,argo,37.6333,22.7333,16.55,15.44,99,2.38,Argos,1683748071
133,muroto-misakicho,33.2833,134.15,17.74,17.74,95,1.39,Muroto-misakicho,1683748072
134,uberaba,-19.7483,-47.9319,25.32,25.32,97,4.12,Uberaba,1683748072
135,hamilton,39.1834,-84.5333,25.69,22.44,0,4.12,Hamilton,1683748073
136,weno,7.4515,151.8468,26.97,26.97,75,0.0,Weno,1683748074
137,pokaran,26.9167,71.9167,33.23,33.23,0,2.56,Pokaran,1683748074
138,aasiaat,68.7098,-52.8699,-1.62,-1.62,62,3.47,Aasiaat,1683748075
139,kangar,6.4414,100.1986,26.98,26.98,95,2.09,Kangar,1683748075
140,nogliki,51.8333,143.1667,-0.12,-0.12,100,3.58,Nogliki,1683748076
141,west island,-12.1568,96.8225,25.99,25.99,75,3.6,West Island,1683748077
142,touros,-5.1989,-35.4608,27.03,27.03,37,5.67,Touros,1683748077
143,tazovsky,67.4667,78.7,-14.89,-14.89,66,5.35,Tazovsky,1683748078
144,flying fish cove,-10.4217,105.6791,26.82,26.82,100,6.17,Flying Fish Cove,1683748078
145,bethanie,-26.4833,17.15,21.11,21.11,26,1.7,Bethanie,1683748079
146,tionk essil,12.7856,-16.5217,32.03,26.98,8,4.74,Tionk Essil,1683748079
147,bowen,-20.0167,148.2333,18.92,18.92,84,4.82,Bowen,1683748080
148,longyearbyen,78.2186,15.6401,0.91,0.91,100,7.2,Longyearbyen,1683748081
149,rabaul,-4.1967,152.1721,26.7,26.7,62,1.59,Rabaul,1683748081
150,kirovskiy,45.0917,133.5136,4.78,4.78,49,1.84,Kirovskiy,1683748082
151,hun,29.1268,15.9477,19.45,19.45,0,7.25,Hūn,1683748082
152,chivhu,-19.0211,30.8922,12.01,12.01,10,3.09,Chivhu,1683748083
153,ust-nera,64.5667,143.2,0.68,0.68,99,2.64,Ust-Nera,1683748084
154,westport,41.1415,-73.3579,24.04,17.66,0,6.17,Westport,1683747907
155,frontera,26.9333,-101.45,34.62,34.62,0,1.34,Frontera,1683748085
156,puerto rosario,-24.45,-57.0833,22.98,22.98,3,2.11,Puerto Rosario,1683748085
157,keflavik,64.0049,-22.5624,8.95,8.24,75,3.09,Keflavik,1683748086
158,fort bragg,35.139,-79.006,26.78,23.95,0,4.12,Fort Bragg,1683748087
159,dudinka,69.4058,86.1778,-22.39,-22.39,13,2.93,Dudinka,1683748087
160,klyuchi,52.2667,79.1667,12.33,12.33,85,5.13,Klyuchi,1683748088
161,ust'-ilimsk,58.0006,102.6619,-1.49,-1.49,19,1.48,Ust'-Ilimsk,1683748089
162,tolanaro,-25.0319,46.9987,23.04,23.04,20,3.09,Tôlanaro,1683748089
163,estacion santa engracia,24.0159,-99.2015,36.75,36.75,5,3.3,Estacion Santa Engracia,1683748090
164,yuktae-dong,40.0247,128.1597,10.28,10.28,0,2.39,Yuktae-dong,1683748090
165,lompoc,34.6391,-120.4579,23.16,16.07,20,8.75,Lompoc,1683747828
166,box elder,41.5005,-112.8764,15.74,15.74,100,6.69,Box Elder,1683748091
167,zilair,52.2332,57.4392,2.84,2.84,100,3.36,Zilair,1683748092
168,pathein,16.7833,94.7333,27.9,27.9,100,1.82,Pathein,1683748093
169,al mayadin,35.0209,40.4535,27.64,27.64,10,4.15,Al Mayādīn,1683748093
170,haymana,39.4321,32.4973,9.39,9.39,91,2.64,Haymana,1683748094
171,mabaruma,8.2,-59.7833,29.41,29.41,94,3.3,Mabaruma,1683748099
172,freeport,40.6576,-73.5832,23.56,16.66,0,5.81,Freeport,1683747968
173,kill devil hills,36.0307,-75.676,23.0,17.77,0,5.14,Kill Devil Hills,1683748101
174,prince rupert,54.3161,-130.3201,13.05,9.83,0,2.57,Prince Rupert,1683748101
175,fedorovskiy,45.0972,40.9517,7.58,7.58,100,2.51,Fëdorovskiy,1683748102
176,geraldton,-28.7667,114.6,16.23,16.23,100,2.06,Geraldton,1683748051
